Category,Customer Name,Product Name,Sub-Category,Profit,Sales
Office Supplies,Toby Swindell,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,36.693,108.72
Office Supplies,Carol Triggs,Xerox 1888,Paper,77.672,221.92
Office Supplies,Natalie DeCherney,"ACCOHIDE 3-Ring Binder, Blue, 1""",Binders,6.6906,19.824
Office Supplies,Roger Demir,Clear Mylar Reinforcing Strips,Binders,30.2778,89.712
Office Supplies,Chloris Kastensmidt,Avery Non-Stick Binders,Binders,7.0044,21.552
Office Supplies,Patrick Ryan,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Binders,42.4647,117.144
Office Supplies,Lisa Hazard,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Envelopes,7.434,21.24
Office Supplies,Neola Schneider,Storex Dura Pro Binders,Binders,20.8494,61.776
Office Supplies,Thais Sissman,Wilson Jones DublLock D-Ring Binders,Binders,-1.35,2.025
Office Supplies,Meg Tillman,UniKeep View Case Binders,Binders,-3.5208,4.401
Office Supplies,Liz Preis,"Premier Elliptical Ring Binder, Black",Binders,-40.1808,54.792
Office Supplies,Natalie Webber,Avery Reinforcements for Hole-Punch Pages,Binders,-3.465,4.158
Office Supplies,Lisa Hazard,"Avery Durable Slant Ring Binders, No Labels",Binders,-7.3232,9.552
Office Supplies,Toby Swindell,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Binders,-23.716,32.34
Office Supplies,Sonia Sunley,Colored Push Pins,Fasteners,0.6516,1.81
Office Supplies,Lena Cacioppo,Xerox 224,Paper,3.1104,6.48
Office Supplies,Vivian Mathis,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",Art,6.512,16.28
Office Supplies,Nat Carroll,Acco Expandable Hanging Binders,Binders,5.8696,12.76
Office Supplies,Julia Dunbar,GBC ProClick Punch Binding System,Binders,62.7004,127.96
Office Supplies,Sonia Sunley,"ACCOHIDE 3-Ring Binder, Blue, 1""",Binders,3.8822,8.26
Office Supplies,Nat Carroll,Staples,Fasteners,2.628,5.84
Office Supplies,Julia Dunbar,Advantus Map Pennant Flags and Round Head Tacks,Fasteners,2.528,7.9
Office Supplies,Pete Kriz,Avery 515,Labels,11.7782,25.06
Office Supplies,Julia Dunbar,Avery Hole Reinforcements,Binders,9.1581,18.69
Office Supplies,Brian DeCherney,Fellowes Recycled Storage Drawers,Storage,23.3163,333.09
Office Supplies,John Lee,GBC Plastic Binding Combs,Binders,14.4648,29.52
Office Supplies,Julia Dunbar,Recycled Steel Personal File for Standard File Folders,Storage,57.5016,221.16
Office Supplies,Jonathan Howell,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,14.425,28.85
Office Supplies,Erin Creighton,Storex DuraTech Recycled Plastic Frosted Binders,Binders,19.08,38.16
Office Supplies,Nat Carroll,Hoover Shoulder Vac Commercial Portable Vacuum,Appliances,107.346,644.076
Office Supplies,Evan Bailliet,Avery 490,Labels,4.44,11.84
Office Supplies,Hunter Glantz,Easy-staple paper,Paper,9.5688,28.352
Office Supplies,Annie Zypern,Xerox 1966,Paper,1.8792,5.184
Office Supplies,Claire Gute,Xerox 1986,Paper,1.8704,5.344
Office Supplies,Mark Hamilton,Staples in misc. colors,Art,1.197,19.152
Office Supplies,Annie Zypern,Newell 333,Art,0.3336,4.448
Office Supplies,Ralph Ritter,Xerox 21,Paper,3.6288,10.368
Office Supplies,Tamara Dahlen,Xerox 206,Paper,3.6288,10.368
Office Supplies,Russell D'Ascenzo,Xerox 1894,Paper,3.6288,10.368
Office Supplies,Pamela Stobb,Xerox 1902,Paper,11.8768,36.544
Office Supplies,Maurice Satty,Xerox 212,Paper,3.6288,10.368
Office Supplies,Harry Greene,Easy-staple paper,Paper,19.1376,56.704
Office Supplies,Mark Hamilton,Adjustable Depth Letter/Legal Cart,Storage,32.6628,290.336
Office Supplies,Annie Zypern,Xerox 1967,Paper,5.4432,15.552
Office Supplies,Maurice Satty,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,5.2026,14.352
Office Supplies,Dan Campbell,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",Storage,-44.1552,220.776
Office Supplies,Stuart Calhoun,Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Storage,4.6344,46.344
Office Supplies,Roy Französisch,"Personal Filing Tote with Lid, Black/Gray",Storage,4.9632,49.632
Office Supplies,Tamara Dahlen,Acme Tagit Stainless Steel Antibacterial Scissors,Supplies,2.772,31.68
Office Supplies,Darrin Martin,Xerox 1990,Paper,6.6,21.12
Office Supplies,Dave Brooks,Prismacolor Color Pencil Set,Art,24.9984,95.232
Office Supplies,Ryan Akin,X-Rack File for Hanging Folders,Storage,4.0644,54.192
Office Supplies,Mary O'Rourke,Laser & Ink Jet Business Envelopes,Envelopes,19.4194,59.752
Office Supplies,Harry Greene,Xerox 1916,Paper,102.774,274.064
Office Supplies,Tamara Dahlen,Staples,Fasteners,2.256,12.032
Office Supplies,Dan Campbell,Fellowes Bankers Box Stor/Drawer Steel Plus,Storage,-35.178,281.424
Office Supplies,Mick Crebagga,Poly Designer Cover & Back,Binders,-6.0768,3.798
Office Supplies,Tamara Dahlen,Holmes Odor Grabber,Appliances,-13.5548,5.768
Office Supplies,Richard Bierner,Belkin 8 Outlet Surge Protector,Appliances,-85.2384,32.784
Office Supplies,Trudy Brown,Acco Hot Clips Clips to Go,Fasteners,1.4805,3.29
Office Supplies,Arianne Irving,Xerox 1923,Paper,3.2064,6.68
Office Supplies,Darrin Martin,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,198.429,601.3
Office Supplies,Vivian Mathis,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Binders,15.9446,32.54
Office Supplies,Shahid Hopkins,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",Paper,9.0048,18.76
Office Supplies,Marc Crier,Eldon Shelf Savers Cubes and Bins,Storage,0.2792,13.96
Office Supplies,Gary Zandusky,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,297.6435,901.95
Office Supplies,Brian Thompson,Colorific Watercolor Pencils,Art,4.4892,15.48
Office Supplies,Liz Thompson,Boston Home & Office Model 2000 Electric Pencil Sharpeners,Art,18.447,70.95
Office Supplies,Chris Cortes,Convenience Packs of Business Envelopes,Envelopes,5.1042,10.86
Office Supplies,Luke Foster,Staple envelope,Envelopes,14.67,29.34
Office Supplies,Carlos Soltero,Xerox 1923,Paper,9.6192,20.04
Office Supplies,Christy Brittain,Tops Green Bar Computer Printout Paper,Paper,73.41,146.82
Office Supplies,Rick Hansen,Xerox 212,Paper,9.3312,19.44
Office Supplies,Edward Nazzal,Easy-staple paper,Paper,7.0218,14.94
Office Supplies,Cindy Chapman,Super Decoflex Portable Personal File,Storage,12.5832,44.94
Office Supplies,Lynn Smith,Avery File Folder Labels,Labels,5.6448,11.52
Office Supplies,Rick Hansen,Personal Creations Ink Jet Cards and Labels,Paper,22.5008,45.92
Office Supplies,Rick Hansen,Xerox 1994,Paper,12.4416,25.92
Office Supplies,Luke Foster,"Fellowes Strictly Business Drawer File, Letter/Legal Size",Storage,67.608,563.4
Office Supplies,Gary Zandusky,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Envelopes,89.955,199.9
Office Supplies,Allen Goldenen,Avery 514,Labels,7.056,14.4
Office Supplies,Chris Cortes,Tripp Lite Isotel 6 Outlet Surge Protector with Fax/Modem Protection,Appliances,123.7691,426.79
Office Supplies,Darrin Martin,Staple envelope,Envelopes,31.4916,68.46
Office Supplies,Brian Thompson,Xerox 209,Paper,24.8832,51.84
Office Supplies,Lynn Smith,"Avery Address/Shipping Labels for Typewriters, 4"" x 2""",Labels,44.712,93.15
Office Supplies,Darrin Martin,Xerox 198,Paper,21.0654,44.82
Office Supplies,Maria Bertelson,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Labels,7.9378,24.424
Office Supplies,Scot Wooten,Fellowes Neat Ideas Storage Cubes,Storage,-5.1968,25.984
Office Supplies,Denny Ordway,Hunt Boston Vacuum Mount KS Pencil Sharpener,Art,4.1988,55.984
Office Supplies,Maria Bertelson,#6 3/4 Gummed Flap White Envelopes,Envelopes,5.544,15.84
Office Supplies,Clay Ludtke,Xerox 1898,Paper,3.7408,10.688
Office Supplies,Clay Ludtke,Xerox 222,Paper,3.6288,10.368
Office Supplies,Alan Shonely,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Paper,3.6288,10.368
Office Supplies,Clay Ludtke,Hanging Personal Folder File,Storage,1.57,25.12
Office Supplies,Maria Bertelson,"Tennsco Lockers, Sand",Storage,1.6784,33.568
Office Supplies,Susan Pistek,"File Shuttle II and Handi-File, Black",Storage,3.389,54.224
Office Supplies,Andrew Roberts,Belkin 6 Outlet Metallic Surge Strip,Appliances,1.9602,26.136
Office Supplies,Cindy Chapman,Poly Designer Cover & Back,Binders,15.9516,45.576
Office Supplies,Lynn Smith,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,4.6806,12.912
Office Supplies,Charlotte Melton,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",Paper,4.1151,11.352
Office Supplies,Clay Ludtke,Smead Adjustable Mobile File Trolley with Lockable Top,Storage,88.0299,1006.056
Office Supplies,Lynn Smith,Pressboard Data Binders by Wilson Jones,Binders,5.7672,17.088
Office Supplies,Maria Bertelson,Newell 347,Art,1.926,17.12
Office Supplies,Trudy Brown,GBC DocuBind P100 Manual Binding Machine,Binders,207.475,663.92
Office Supplies,Denny Ordway,Convenience Packs of Business Envelopes,Envelopes,4.887,14.48
Office Supplies,Carl Ludwig,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Paper,15.012,40.032
Office Supplies,Dennis Kane,Newell 312,Art,4.672,37.376
Office Supplies,Jas O'Carroll,Avery Round Ring Poly Binders,Binders,-0.5964,0.852
Office Supplies,Richard Bierner,"Premier Elliptical Ring Binder, Black",Binders,-13.3936,18.264
Office Supplies,Bryan Mills,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Binders,-2.0622,2.946
Office Supplies,Susan Pistek,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,-3.462,5.193
Office Supplies,Scot Wooten,Ibico Plastic Spiral Binding Combs,Binders,-21.888,27.36
Office Supplies,Maria Bertelson,Accohide Poly Flexible Ring Binders,Binders,-4.488,6.732
Office Supplies,Hunter Glantz,Staple holder,Appliances,4.6818,17.34
Office Supplies,Jay Fein,Binding Machine Supplies,Binders,28.0032,58.34
Office Supplies,Jay Fein,"Wilson Jones Hanging View Binder, White, 1""",Binders,6.532,14.2
Office Supplies,Jay Fein,Xerox 210,Paper,6.2208,12.96
Office Supplies,Arthur Prichep,Advantus Map Pennant Flags and Round Head Tacks,Fasteners,3.792,11.85
Office Supplies,Jeremy Farry,Avery 493,Labels,7.2177,14.73
Office Supplies,Christina Anderson,Permanent Self-Adhesive File Folder Labels for Typewriters by Universal,Labels,3.6018,7.83
Office Supplies,John Castell,Tops White Computer Printout Paper,Paper,91.9508,195.64
Office Supplies,Clay Ludtke,Sensible Storage WireTech Storage Systems,Storage,17.745,354.9
Office Supplies,Pete Takahito,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Paper,2.502,6.672
Office Supplies,Pete Takahito,Prang Drawing Pencil Set,Art,1.112,4.448
Office Supplies,Ralph Arnett,Sanford Liquid Accent Highlighters,Art,2.2712,10.688
Office Supplies,Trudy Glocke,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",Art,1.0584,4.032
Office Supplies,Zuschuss Donatelli,Xerox 1921,Paper,4.995,15.984
Office Supplies,Pete Takahito,Woodgrain Magazine Files by Perma,Storage,-0.7748,4.768
Office Supplies,Muhammed Lee,Newell 347,Art,1.1556,10.272
Office Supplies,Lena Radford,Steel Personal Filing/Posting Tote,Storage,7.4571,85.224
Office Supplies,Cari Schnelling,Things To Do Today Spiral Book,Paper,9.1872,25.344
Office Supplies,Sarah Jordon,Acco Perma 3000 Stacking Storage Drawers,Storage,-0.8392,67.136
Office Supplies,Chloris Kastensmidt,"OIC Colored Binder Clips, Assorted Sizes",Fasteners,5.191,14.32
Office Supplies,Mick Brown,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Labels,39.689,122.12
Office Supplies,Chloris Kastensmidt,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes,16.5186,48.944
Office Supplies,Brian DeCherney,Xerox 1913,Paper,108.7408,310.688
Office Supplies,Debra Catini,"Iris 3-Drawer Stacking Bin, Black",Storage,-33.8418,150.408
Office Supplies,Sarah Jordon,Recycled Easel Ring Binders,Binders,-11.19,13.428
Office Supplies,Patrick Gardner,Large Capacity Hanging Post Binders,Binders,-29.94,37.425
Office Supplies,Trudy Glocke,Ibico Plastic and Wire Spiral Binding Combs,Binders,-10.116,12.645
Office Supplies,Mick Brown,Wilson Jones Century Plastic Molded Ring Binders,Binders,-52.5481,68.541
Office Supplies,Sarah Foster,"BOSTON Ranger #55 Pencil Sharpener, Black",Art,7.5371,25.99
Office Supplies,William Brown,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,13.941,30.98
Office Supplies,Sandra Glassco,Xerox 191,Paper,9.3906,19.98
Office Supplies,Patrick Ryan,"Southworth 100% Résumé Paper, 24lb.",Paper,3.501,7.78
Office Supplies,Resi Pölking,Xerox 1942,Paper,24.47,48.94
Office Supplies,MaryBeth Skach,Xerox 1986,Paper,3.2064,6.68
Office Supplies,William Brown,Fellowes 8 Outlet Superior Workstation Surge Protector,Appliances,24.1918,83.42
Office Supplies,Resi Pölking,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Appliances,9.7438,22.66
Office Supplies,William Brown,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Art,6.0632,23.32
Office Supplies,Tom Boeckenhauer,Manco Dry-Lighter Erasable Highlighter,Art,2.0672,6.08
Office Supplies,Lauren Leatherbury,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art,3.0558,9.26
Office Supplies,Lauren Leatherbury,Avery 501,Labels,3.4686,7.38
Office Supplies,Joel Eaton,Xerox 1925,Paper,27.882,61.96
Office Supplies,Tom Prescott,Xerox 1984,Paper,6.3504,12.96
Office Supplies,Charlotte Melton,"Eldon Base for stackable storage shelf, platinum",Storage,3.894,77.88
Office Supplies,Sandra Glassco,Mobile Personal File Cube,Storage,12.6468,46.84
Office Supplies,Michael Moore,Space Solutions Commercial Steel Shelving,Storage,6.465,129.3
Office Supplies,Resi Pölking,Acme Value Line Scissors,Supplies,2.19,7.3
Office Supplies,Sandra Glassco,Newell 308,Art,1.26,5.04
Office Supplies,Jay Kimmel,Newell 345,Art,15.4752,59.52
Office Supplies,MaryBeth Skach,Prang Drawing Pencil Set,Art,2.2518,8.34
Office Supplies,Chuck Magee,Avery 494,Labels,3.6018,7.83
Office Supplies,Liz Pelletier,Avery 50,Labels,17.6673,37.59
Office Supplies,Dianna Vittorini,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Paper,60.2553,122.97
Office Supplies,Jeremy Farry,Spiral Phone Message Books with Labels by Adams,Paper,6.5856,13.44
Office Supplies,Toby Carlisle,Xerox 1888,Paper,79.8912,166.44
Office Supplies,Jennifer Ferguson,Xerox 225,Paper,9.3312,19.44
Office Supplies,William Brown,Rogers Profile Extra Capacity Storage Tub,Storage,2.0088,50.22
Office Supplies,Chuck Magee,Advantus Rolling Storage Box,Storage,13.8915,51.45
Office Supplies,Jay Kimmel,Sterilite Officeware Hinged File Box,Storage,8.4888,31.44
Office Supplies,Mitch Webber,Sterilite Officeware Hinged File Box,Storage,8.4888,31.44
Office Supplies,Sandra Glassco,Acme Tagit Stainless Steel Antibacterial Scissors,Supplies,8.019,29.7
Office Supplies,Thomas Thornton,Boston Heavy-Duty Trimline Electric Pencil Sharpeners,Art,55.912,192.8
Office Supplies,Justin MacKendrick,Hanging Personal Folder File,Storage,15.7,62.8
Office Supplies,Jay Kimmel,Staple remover,Supplies,9.2568,31.92
Office Supplies,Cassandra Brandow,Kensington 4 Outlet MasterPiece Compact Power Control Center,Appliances,113.848,406.6
Office Supplies,Chuck Magee,SANFORD Major Accent Highlighters,Art,13.452,35.4
Office Supplies,Sandra Glassco,OIC Bulk Pack Metal Binder Clips,Fasteners,8.027,17.45
Office Supplies,Resi Pölking,OIC Thumb-Tacks,Fasteners,2.679,5.7
Office Supplies,Chuck Magee,Great White Multi-Use Recycled Paper (20Lb. and 84 Bright),Paper,13.455,29.9
Office Supplies,Liz Pelletier,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",Paper,16.848,37.44
Office Supplies,Jay Kimmel,Staple holder,Appliances,22.6233,83.79
Office Supplies,Jennifer Ferguson,Dixon Ticonderoga Pencils,Art,6.4368,23.84
Office Supplies,Jennifer Ferguson,Xerox 1894,Paper,34.2144,71.28
Office Supplies,William Brown,"Black Avery Memo-Size 3-Ring Binder, 5 1/2"" x 8 1/2""",Binders,2.1286,5.872
Office Supplies,Thomas Thornton,"ACCOHIDE 3-Ring Binder, Blue, 1""",Binders,2.2302,6.608
Office Supplies,Thomas Thornton,Presstex Flexible Ring Binders,Binders,2.73,7.28
Office Supplies,Liz Pelletier,"Acco Flexible ACCOHIDE Square Ring Data Binder, Dark Blue, 11 1/2"" X 14"" 7/8""",Binders,9.4366,26.032
Office Supplies,William Brown,Recycled Easel Ring Binders,Binders,11.19,35.808
Office Supplies,Sandra Glassco,GBC DocuBind P100 Manual Binding Machine,Binders,124.485,398.352
Office Supplies,Lynn Smith,Avery Non-Stick Heavy Duty View Round Locking Ring Binders,Binders,5.0232,14.352
Office Supplies,Ken Lonsdale,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders,35.6526,98.352
Office Supplies,Kean Takahito,"Fellowes Personal Hanging Folder Files, Navy",Storage,4.2976,42.976
Office Supplies,William Brown,Ibico Laser Imprintable Binding System Covers,Binders,68.12,209.6
Office Supplies,Bobby Elias,Recycled Premium Regency Composition Covers,Binders,22.156,61.12
Office Supplies,Jennifer Ferguson,Ibico Ibimaster 300 Manual Binding System,Binders,459.9875,1471.96
Office Supplies,William Brown,GBC Recycled VeloBinder Covers,Binders,39.8736,122.688
Office Supplies,Stewart Visinsky,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Binders,-16.776,25.164
Office Supplies,Patrick Gardner,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Binders,-7.1148,9.702
Office Supplies,Toby Braunhardt,SpineVue Locking Slant-D Ring Binders by Cardinal,Binders,-6.0324,8.226
Office Supplies,Eric Hoffmann,Accohide Poly Flexible Ring Binders,Binders,-2.244,3.366
Office Supplies,Susan Vittorini,Vinyl Sectional Post Binders,Binders,-45.24,67.86
Office Supplies,Stewart Visinsky,"Wilson Jones 1"" Hanging DublLock Ring Binders",Binders,-8.1312,11.088
Office Supplies,Ralph Kennedy,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Storage,9.7328,34.76
Office Supplies,Tamara Manning,"Tenex Personal Project File with Scoop Front Design, Black",Storage,3.5048,13.48
Office Supplies,Robert Waldorf,Acco 6 Outlet Guardian Standard Surge Suppressor,Appliances,7.254,24.18
Office Supplies,Lena Hernandez,"Quartet Omega Colored Chalk, 12/Pack",Art,5.4896,11.68
Office Supplies,Ruben Dartt,Stanley Contemporary Battery Pencil Sharpeners,Art,7.476,26.7
Office Supplies,Daniel Lacy,GBC Standard Plastic Binding Systems' Combs,Binders,5.652,12.56
Office Supplies,Guy Armstrong,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Binders,4.4344,9.64
Office Supplies,John Huston,Smead Alpha-Z Color-Coded Name Labels First Letter Starter Set,Labels,3.6,7.5
Office Supplies,Ralph Kennedy,Tops White Computer Printout Paper,Paper,45.9754,97.82
Office Supplies,Tamara Manning,Xerox 1997,Paper,6.2208,12.96
Office Supplies,Tamara Manning,"Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book",Paper,7.98,15.96
Office Supplies,Tom Boeckenhauer,Xerox 2000,Paper,6.2208,12.96
Office Supplies,Carol Triggs,Fellowes Stor/Drawer Steel Plus Storage Drawers,Storage,11.4516,190.86
Office Supplies,Guy Armstrong,Fellowes Neat Ideas Storage Cubes,Storage,2.5984,64.96
Office Supplies,Robert Waldorf,"Holmes Replacement Filter for HEPA Air Cleaner, Medium Room",Appliances,14.6157,33.99
Office Supplies,Ruben Dartt,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",Art,4.5837,13.89
Office Supplies,Nat Carroll,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Art,35.6238,131.94
Office Supplies,Guy Armstrong,VariCap6 Expandable Binder,Binders,24.393,51.9
Office Supplies,Robert Waldorf,3M Organizer Strips,Binders,7.776,16.2
Office Supplies,Robert Waldorf,Newell 3-Hole Punched Plastic Slotted Magazine Holders for Binders,Binders,6.5808,13.71
Office Supplies,Tom Boeckenhauer,"GBC Laser Imprintable Binding System Covers, Desert Sand",Binders,20.1207,42.81
Office Supplies,Eric Barreto,Flexible Leather- Look Classic Collection Ring Binder,Binders,28.41,56.82
Office Supplies,Alex Grayson,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,38.3238,81.54
Office Supplies,Nat Carroll,Staples,Fasteners,3.4827,7.41
Office Supplies,Guy Armstrong,Avery 483,Labels,6.8724,14.94
Office Supplies,Dean Braden,Easy-staple paper,Paper,7.0218,14.94
Office Supplies,Robert Waldorf,Fellowes Stor/Drawer Steel Plus Storage Drawers,Storage,17.1774,286.29
Office Supplies,Jeremy Lonsdale,Acme Titanium Bonded Scissors,Supplies,6.63,25.5
Office Supplies,Nat Carroll,"BIC Brite Liner Highlighters, Chisel Tip",Art,8.2944,25.92
Office Supplies,Ralph Arnett,Avery Round Ring Poly Binders,Binders,5.5664,11.36
Office Supplies,Dean Braden,Ibico Plastic and Wire Spiral Binding Combs,Binders,15.5112,33.72
Office Supplies,Andy Reiter,GBC DocuBind P400 Electric Binding System,Binders,2504.2216,5443.96
Office Supplies,Nat Carroll,Fellowes High-Stak Drawer Files,Storage,162.0948,704.76
Office Supplies,Denise Leinenbach,"Hoover Replacement Belts For Soft Guard & Commercial Ltweight Upright Vacs, 2/Pk",Appliances,5.135,19.75
Office Supplies,Dean Braden,BIC Liqua Brite Liner,Art,12.492,34.7
Office Supplies,Ruben Dartt,"Fellowes Twister Kit, Gray/Clear, 3/pkg",Binders,18.09,40.2
Office Supplies,Adam Shillingsburg,Staple envelope,Envelopes,13.348,28.4
Office Supplies,Ralph Kennedy,Xerox 1981,Paper,11.88,26.4
Office Supplies,Tamara Manning,Xerox 1887,Paper,45.528,94.85
Office Supplies,Robert Waldorf,Xerox 1970,Paper,11.703,24.9
Office Supplies,Matt Collins,Strathmore Photo Mount Cards,Paper,15.594,33.9
Office Supplies,Roger Demir,Adjustable Personal File Tote,Storage,21.164,81.4
Office Supplies,Ralph Kennedy,Eldon Portable Mobile Manager,Storage,38.178,141.4
Office Supplies,Denise Leinenbach,"Crayola Anti Dust Chalk, 12/Pack",Art,4.914,10.92
Office Supplies,Ruben Dartt,Space Solutions HD Industrial Steel Shelving.,Storage,20.6946,689.82
Office Supplies,Adam Shillingsburg,Hanging Personal Folder File,Storage,23.55,94.2
Office Supplies,Ralph Kennedy,"White Envelopes, White Envelopes with Clear Poly Window",Envelopes,49.105,106.75
Office Supplies,Andy Reiter,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Paper,25.2315,56.07
Office Supplies,Carol Triggs,Manco Dry-Lighter Erasable Highlighter,Art,8.2688,24.32
Office Supplies,Ken Lonsdale,GBC Recycled Regency Composition Covers,Binders,219.9904,478.24
Office Supplies,Nat Carroll,"Binney & Smith inkTank Desk Highlighter, Chisel Tip, Yellow, 12/Box",Art,7.095,21.5
Office Supplies,Arthur Gainer,Staple envelope,Envelopes,2.934,7.824
Office Supplies,George Ashbrook,Xerox 1949,Paper,1.4442,3.984
Office Supplies,Katherine Hughes,"Adams Telephone Message Books, 5 1/4” x 11”",Paper,1.6308,4.832
Office Supplies,John Lucas,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Storage,1.3316,26.632
Office Supplies,Charles McCrossin,Staple remover,Supplies,-0.3488,1.744
Office Supplies,Aimee Bixby,Acme Elite Stainless Steel Scissors,Supplies,0.5004,6.672
Office Supplies,Ralph Arnett,Acme Value Line Scissors,Supplies,0.365,2.92
Office Supplies,Trudy Schmidt,Newell 319,Art,3.968,31.744
Office Supplies,Dan Lawera,Avery 510,Labels,2.1,6
Office Supplies,Jennifer Ferguson,Xerox 1892,Paper,22.4808,62.016
Office Supplies,Duane Benoit,Xerox 1953,Paper,2.14,6.848
Office Supplies,Maribeth Schnelling,"Companion Letter/Legal File, Black",Storage,6.0416,60.416
Office Supplies,Rob Lucas,Newell 32,Art,0.6912,6.912
Office Supplies,Amy Hunt,Newell 317,Art,0.7938,7.056
Office Supplies,Neola Schneider,"Dixon My First Ticonderoga Pencil, #2",Art,1.5795,14.04
Office Supplies,Darrin Martin,Newell 320,Art,0.8988,10.272
Office Supplies,Neola Schneider,Colored Push Pins,Fasteners,0.8688,4.344
Office Supplies,Chris Cortes,"Ampad Poly Cover Wirebound Steno Book, 6"" x 9"" Assorted Colors, Gregg Ruled",Paper,3.405,10.896
Office Supplies,Jill Fjeld,"Ink Jet Note and Greeting Cards, 8-1/2"" x 5-1/2"" Card Size",Paper,17.5344,53.952
Office Supplies,Neola Schneider,Xerox 1925,Paper,23.235,74.352
Office Supplies,Aimee Bixby,Xerox 1994,Paper,5.4432,15.552
Office Supplies,Keith Herrera,Xerox 21,Paper,5.4432,15.552
Office Supplies,Shui Tom,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Paper,6.066,16.176
Office Supplies,Carl Ludwig,"Belkin 19"" Vented Equipment Shelf, Black",Storage,-29.3436,123.552
Office Supplies,Trudy Schmidt,"Dual Level, Single-Width Filing Carts",Storage,27.9108,372.144
Office Supplies,Aimee Bixby,"Boston School Pro Electric Pencil Sharpener, 1670",Art,8.6744,99.136
Office Supplies,Helen Andreada,Acco Hot Clips Clips to Go,Fasteners,3.29,10.528
Office Supplies,Jill Fjeld,OIC Bulk Pack Metal Binder Clips,Fasteners,3.6296,11.168
Office Supplies,Chuck Magee,Staples,Fasteners,7.89,25.248
Office Supplies,Aimee Bixby,Xerox 1901,Paper,5.28,16.896
Office Supplies,Cassandra Brandow,Staples in misc. colors,Art,0.712,7.12
Office Supplies,Sam Craven,Xerox 1898,Paper,9.352,26.72
Office Supplies,John Stevenson,Xerox 1914,Paper,79.692,219.84
Office Supplies,Neola Schneider,Sterilite Officeware Hinged File Box,Storage,3.668,41.92
Office Supplies,Seth Vernon,"Personal Folder Holder, Ebony",Storage,5.605,44.84
Office Supplies,Greg Hansen,Acme Box Cutter Scissors,Supplies,3.069,40.92
Office Supplies,Katherine Hughes,Staple envelope,Envelopes,21.024,56.064
Office Supplies,Helen Andreada,Xerox 1927,Paper,6.42,20.544
Office Supplies,Maria Bertelson,Bulldog Vacuum Base Pencil Sharpener,Art,5.8751,67.144
